ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal,NOC,region
576,"Alejandro lex"""" Abrines Redondo""""",M,23,198,93,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Bronze,ESP,Spain
580,Svetlana Olegovna Abrosimova,F,28,188,77,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Bronze,RUS,Russia
582,Saypulla Atavovich Absaidov,M,22,168,68,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,Gold,URS,Russia
583,Julien Absalon,M,23,180,68,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,Gold,FRA,France
583,Julien Absalon,M,27,180,68,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,Gold,FRA,France
608,Ahmad Abughaush,M,20,178,68,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Gold,JOR,Jordan
610,Ginko Abukawa-Chiba,F,26,148,46,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Bronze,JPN,Japan
618,Aleksandr Veniaminovich Abushakhmetov,M,25,189,81,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,Bronze,URS,Russia
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,Gold,URS,Russia
627,Andreea Roxana Acatrinei,F,16,150,40,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Bronze,ROU,Romania
629,William Accambray,M,24,194,104,France,FRA,2012 Summer,2012,Summer,London,Handball,Gold,FRA,France
639,Domingo Gmez-Acedo Villanueva,M,21,NA,NA,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Football,Silver,ESP,Spain
646,Anibl Santiago Acevedo,M,21,176,67,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Bronze,PUR,Puerto Rico
654,Daniel Aceves Villagrn,M,19,158,52,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,Silver,MEX,Mexico
669,Joachim Yaw Acheampong,M,18,181,73,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze,GHA,Ghana
670,Alfred Achermann,M,24,176,75,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Silver,SUI,Switzerland
673,Abdel Hak Achik,M,29,165,54,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Bronze,MAR,Morocco
674,Mohamed Abdelhak Achik,M,27,174,57,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Bronze,MAR,Morocco
690,Chantal Achterberg,F,27,172,72,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Bronze,NED,Netherlands
690,Chantal Achterberg,F,31,172,72,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Silver,NED,Netherlands
697,Fausto Alesio Acke (Padovini-),M,22,NA,NA,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gold,SWE,Sweden
698,Paul Douglas Ackerley,M,27,179,68,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Gold,NZL,New Zealand
699,"Charles Edwin Charley"""" Ackerly""""",M,22,NA,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,Gold,USA,USA
716,Lautaro Germn Acosta,M,20,168,72,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Gold,ARG,Argentina
723,Osmay Acosta Duarte,M,23,188,91,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Bronze,CUB,Cuba
727,Martn Ral Acosta y Lara Daz,M,27,NA,NA,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Bronze,URU,Uruguay
745,Kazimierz Piotr Adach,M,23,162,60,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Bronze,POL,Poland
762,"Gordon Belgum Gordy"""" Adam""""",M,21,NA,NA,United States,USA,1936 Summer,1936,Summer,Berlin,Rowing,Gold,USA,USA
766,Ji Adam,M,25,187,83,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Silver,TCH,Czech Republic
775,Otto Adam,M,26,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,Bronze,GER,Germany
777,Pierre Louis Eugne Adam,M,24,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Cycling,Gold,FRA,France
785,Dariusz Adamczuk,M,22,179,78,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Silver,POL,Poland
807,"Benjamin Willard Ben"""" Adams""""",M,22,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Silver,USA,USA
807,"Benjamin Willard Ben"""" Adams""""",M,22,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Bronze,USA,USA
813,Edgar Holmes Adams,M,36,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Silver,USA,USA
818,Harry Lester Adams,M,31,NA,NA,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,Gold,USA,USA
830,Adrian Neil Adams,M,21,178,78,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Silver,GBR,UK
830,Adrian Neil Adams,M,25,178,78,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Silver,GBR,UK
832,Nicola Virginia Adams,F,29,164,51,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Gold,GBR,UK
832,Nicola Virginia Adams,F,33,164,51,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Gold,GBR,UK
836,Platt Adams,M,27,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Gold,USA,USA
836,Platt Adams,M,27,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Silver,USA,USA
837,Rachael Alexis Adams,F,26,188,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Bronze,USA,USA
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Gold,NZL,New Zealand
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Gold,NZL,New Zealand
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Silver,NZL,New Zealand
849,Filip Kamil Adamski,M,29,189,87,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Gold,GER,Germany
850,Herbert Adamski,M,26,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Gold,GER,Germany
851,Jerzy Adamski,M,23,171,58,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Silver,POL,Poland
882,Simon Addo,M,17,180,79,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze,GHA,Ghana
896,Olubayo Adefemi,M,22,181,82,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Silver,NGR,Nigeria
908,"Ayodele Dele"""" Adeleye""""",M,19,190,80,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Silver,NGR,Nigeria
918,Ademir Roque Kaefer,M,24,179,74,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Silver,BRA,Brazil
918,Ademir Roque Kaefer,M,28,179,74,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Silver,BRA,Brazil
923,Olapade Charles Adeniken,M,22,186,78,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Silver,NGR,Nigeria
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Gold,BRA,Brazil
953,Franck Adisson,M,23,180,70,France-1,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,Bronze,FRA,France
953,Franck Adisson,M,26,180,70,France-1,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,Gold,FRA,France
957,Sammi Adjei,M,18,NA,NA,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze,GHA,Ghana
962,"Charles Chuck"""" Adkins""""",M,20,NA,NA,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Gold,USA,USA
963,Derrick Ralph Adkins,M,26,188,80,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Gold,USA,USA
964,"Robert Edward Bob"""" Adlard""""",M,32,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Hockey,Silver,GBR,UK
966,Daniel Adler,M,26,180,72,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Silver,BRA,Brazil
967,Egon Adler,M,23,172,62,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Silver,GER,Germany
968,"Margarete Grete"""" Adler""""",F,16,NA,NA,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Bronze,AUT,Austria
973,Gregor Nils Henric Adlercreutz,M,37,NA,NA,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Equestrianism,Bronze,SWE,Sweden
