Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Duke Paoa Kahino Makoe Hulikohoa Kahanamoku","United States",Swimming,5,3,2,0
"Marina Charlotte Kalla",Sweden,"Cross Country Skiing",5,2,3,0
"Klete D. Keller","United States",Swimming,5,2,1,2
"Anni Helena Kivioja-Takalo",Finland,"Cross Country Skiing",5,1,3,1
"Lasse Kjus (Kristoffersen-)",Norway,"Alpine Skiing",5,1,3,1
"Viktor Yakovlevich Klimenko","Soviet Union",Gymnastics,5,1,3,1
"Yana Oleksandrivna Klochkova",Ukraine,Swimming,5,4,1,0
"Alevtina Pavlovna Kolchina (Leontyeva-)","Soviet Union","Cross Country Skiing",5,1,1,3
"Johan Pietari "Hannes"" Kolehmainen"",Finland,Athletics,5,4,1,0
"Paavo Johannes Aaltonen",Finland,Gymnastics,5,3,0,2
"Denis Mikhaylovich Ablyazin",Russia,Gymnastics,5,0,3,2
"Charles Benedict "Ben"" Ainslie"","Great Britain",Sailing,5,4,1,0
"Albina Khamitovna Akhatova",Russia,Biathlon,5,1,1,3
"Marco Albarello",Italy,"Cross Country Skiing",5,1,3,1
"Peter Angerer","West Germany",Biathlon,5,1,2,2
"Paul Eugne Albert Anspach",Belgium,Fencing,5,2,2,1
"Vladimir Nikolayevich Artyomov","Soviet Union",Gymnastics,5,4,1,0
"Evelyn Ashford (-Washington)","United States",Athletics,5,4,1,0
"Andrs Balcz",Hungary,"Modern Pentathlon",5,3,2,0
"Irving Knott "Irv"" Baxter"","United States",Athletics,5,2,3,0
"Tibor Berczelly (Berczeller-)",Hungary,Fencing,5,3,0,2
"Jack Beresford","Great Britain",Rowing,5,3,2,0
"Simone Arianne Biles","United States",Gymnastics,5,4,0,1
"Claes Arne Borg",Sweden,Swimming,5,1,2,2
"Kathrin Boron (-Kppen)",Germany,Rowing,5,4,0,1
"Lawrence Adam "Larry"" Nuesslein"","United States",Shooting,5,2,1,2
"Matti Ensio Nyknen (-Paanala)",Finland,"Ski Jumping",5,4,1,0
"Jon C. Olsen","United States",Swimming,5,4,0,1
"sten stensen",Norway,Shooting,5,0,3,2
"Charles Ferdinand Pahud de Mortanges",Netherlands,Equestrianism,5,4,1,0
"Yuliya Vladimirovna Pakhalina",Russia,Diving,5,1,3,1
"Park Seung-Hui","South Korea","Short Track Speed Skating",5,2,0,3
"Nicolas Achille Paroche",France,Shooting,5,1,3,1
"Gabriella Paruzzi",Italy,"Cross Country Skiing",5,1,0,4
"Jerzy Wadysaw Pawowski",Poland,Fencing,5,1,3,1
"Constana Pipot-Burcic",Romania,Rowing,5,3,1,1
"Ctlina Ponor",Romania,Gymnastics,5,3,1,1
"Aleksandr Vladimirovich Popov",Russia,Swimming,5,2,3,0
"Meyer Prinstein","United States",Athletics,5,4,1,0
"Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova)","Soviet Union",Swimming,5,1,2,2
"Oreste Puliti",Italy,Fencing,5,4,1,0
"Qin Kai",China,Diving,5,2,1,2
"Johann Olav Koss",Norway,"Speed Skating",5,4,1,0
"Justyna Kowalczyk",Poland,"Cross Country Skiing",5,2,1,2
"Samppa Kalevi Lajunen",Finland,"Nordic Combined",5,3,2,0
"Jean-Franois Lamour",France,Fencing,5,2,1,2
"Per Fredric Landelius",Sweden,Shooting,5,0,3,2
"Niels Hansen Ditlev Larsen",Denmark,Shooting,5,1,1,3
"Tatyana Romanovna Lebedeva",Russia,Athletics,5,1,3,1
"Lee Ho-Seok","South Korea","Short Track Speed Skating",5,1,4,0
"Li Jiajun",China,"Short Track Speed Skating",5,0,2,3
"Li Xiaopeng",China,Gymnastics,5,4,0,1
"James Davies "Jim"" Lightbody"","United States",Athletics,5,4,1,0
"Alexandre Auguste Lippmann",France,Fencing,5,2,2,1
"Viktor Nikitovich Lisitsky","Soviet Union",Gymnastics,5,0,5,0
"Anastasiya Valeryevna "Nastia"" Liukin"","United States",Gymnastics,5,1,3,1
"Lou Yun",China,Gymnastics,5,2,2,1
"Gregory Efthimios "Greg"" Louganis"","United States",Diving,5,4,1,0
"Frank Luck",Germany,Biathlon,5,2,3,0
"Christopher Paul MacDonald","New Zealand",Canoeing,5,3,1,1
"Lars Jrgen Madsen",Denmark,Shooting,5,2,2,1
"Valeriy Pylypovych Borzov","Soviet Union",Athletics,5,2,1,2
"G. Alberto Braglia",Italy,Gymnastics,5,3,2,0
"Roland Brckner","East Germany",Gymnastics,5,1,1,3
"Julien Louis Brul",France,Archery,5,1,3,1
"Antje Buschschulte (-Meeuw)",Germany,Swimming,5,0,0,5
"David Cal Figueroa",Spain,Canoeing,5,1,4,0
"Cate Natalie Campbell",Australia,Swimming,5,2,1,2
"Gustaf Eric Carlberg",Sweden,Shooting,5,2,3,0
"Henri Chammartin",Switzerland,Equestrianism,5,1,2,2
"Andrew Murray "Boy"" Charlton"",Australia,Swimming,5,1,3,1
"Chen Ruolin",China,Diving,5,5,0,0
"Stephen Edward "Steve"" Clark"","United States",Swimming,5,5,0,0
"Giancarlo Cornaggia-Medici Peterbelli",Italy,Fencing,5,3,1,1
"Alicia Jayne Coutts",Australia,Swimming,5,1,3,1
"Ian Lowell Crocker","United States",Swimming,5,3,1,1
"Joshua Clark "Josh"" Davis"","United States",Swimming,5,3,2,0
"Anastasiya Semyonovna Davydova",Russia,"Synchronized Swimming",5,5,0,0
"Adrianus Egbert Willem "Arie"" de Jong"",Netherlands,Fencing,5,0,0,5
"Ladislav Vcha",Czechoslovakia,Gymnastics,5,1,2,2
"Yelena Valeryevna Vlbe (Trubitsyna-)","Unified Team","Cross Country Skiing",5,1,0,4
"Albertson Van Zo Post","United States",Fencing,5,2,1,2
"Wang Hao",China,"Table Tennis",5,2,3,0
"Peter Johann "Johnny"" Weissmuller"","United States",Swimming,5,5,0,0
"Malvin Groston "Mal"" Whitfield"","United States",Athletics,5,3,1,1
"Max Antony Whitlock","Great Britain",Gymnastics,5,2,0,3
"Hayley Marie Wickenheiser",Canada,"Ice Hockey",5,4,1,0
"Emil Edvin Wide (Hermansson-)",Sweden,Athletics,5,0,1,4
"Xiong Ni",China,Diving,5,3,1,1
"Tsuyoshi Yamanaka",Japan,Swimming,5,0,4,1
"Yang Wei",China,Gymnastics,5,3,2,0
"Lyubov Ivanovna Yegorova","Unified Team","Cross Country Skiing",5,3,2,0
"Giorgio Zampori",Italy,Gymnastics,5,4,0,1
"Emil Ztopek",Czechoslovakia,Athletics,5,4,1,0
"Nikolay Semyonovich Zimyatov","Soviet Union","Cross Country Skiing",5,4,1,0
"Michal Martikn",Slovakia,Canoeing,5,2,2,1
"Carlo Massullo",Italy,"Modern Pentathlon",5,1,2,2
"Bradley John "Brad"" McGee"",Australia,Cycling,5,1,1,3
"Mary Terstegge Meagher (-Plant)","United States",Swimming,5,3,1,1
"Franco Menichelli",Italy,Gymnastics,5,1,1,3
"William G. Merz","United States",Gymnastics,5,0,1,4
"Juha Iisakki Mieto",Finland,"Cross Country Skiing",5,1,2,2
"Hryhoriy Anatoliyovych Misiutin","Unified Team",Gymnastics,5,1,4,0
"Anita Moen-Guidon (-Moen Bonden)",Norway,"Cross Country Skiing",5,0,3,2
"Pedro Pablo Morales  Jr.","United States",Swimming,5,3,2,0
"Daniel Yves Morelon",France,Cycling,5,3,1,1
"Valentin Ivanovich Muratov","Soviet Union",Gymnastics,5,4,1,0
"Bogdan Musiol","East Germany-1",Bobsleigh,5,1,3,1
"John Phillips Naber","United States",Swimming,5,4,1,0
"Harald Natvig",Norway,Shooting,5,3,1,1
"Christian Nol",France,Fencing,5,1,0,4
"Erika Zuchold (Barth-)","East Germany",Gymnastics,5,0,4,1
