Name,Team,Sport,num_medals
"Georg Lammers",Germany,Athletics,2
"Jocelyne Nicole Lamoureux","United States","Ice Hockey",2
"Monique Edith Lamoureux (-Kolls)","United States","Ice Hockey",2
"Werner Lampe","West Germany",Swimming,2
"Sven Axel Richard Landberg",Sweden,Gymnastics,2
"Frederick Claude Vivian "Fred"" Lane"",Australia,Swimming,2
"Robert Lang","Czech Republic","Ice Hockey",2
"Thomas Lange",Germany,Rowing,2
"Christoph Langen",Germany-2,Bobsleigh,2
"Christoph Langen",Germany-1,Bobsleigh,2
"Terje Bjarte Langli",Norway,"Cross Country Skiing",2
"Steven Daniel "Steve"" Langton"","United States-1",Bobsleigh,2
"Lao Lishi",China,Diving,2
"Kaarlo Kustaa "Kalle"" Lappalainen"",Finland,Shooting,2
"Onni Armas Lappalainen",Finland,Gymnastics,2
"Yevhen Valentynovych Lapynskiy","Soviet Union",Volleyball,2
"Pablo Lara Rodrguez",Cuba,Weightlifting,2
"Igor Nikolayevich Larionov","Soviet Union","Ice Hockey",2
"Mitchell James "Mitch"" Larkin"",Australia,Swimming,2
"George Edward Larner","Great Britain",Athletics,2
"Michael Denny "Mike"" Larrabee"","United States",Athletics,2
"Tonje Larsen",Norway,Handball,2
"Lance Melvin Larson","United States",Swimming,2
"Jordan Quinn Larson-Burbach","United States",Volleyball,2
"Peter Andreas Larsson",Sweden,Handball,2
"Erik Bernhard Larsson",Sweden,Shooting,2
"Erik August Larsson",Sweden,"Cross Country Skiing",2
"Karl Gunnar Larsson",Sweden,Swimming,2
"l Lars Gunnar Larsson",Sweden,"Cross Country Skiing",2
"Carl Rune Larsson",Sweden,Athletics,2
"Grzegorz Bolesaw Lato",Poland,Football,2
"Victoria Jane "Vicky"" Latta"","New Zealand",Equestrianism,2
"Heike Ltzsch (-Wedekind)",Germany,Hockey,2
"Jutta Lau","East Germany",Rowing,2
"Simone Laudehr",Germany,Football,2
"Hilde Lauer (-Ttaru)",Romania,Canoeing,2
"Walter Laufer","United States",Swimming,2
"Kenneth "Ken"" Laufman"",Canada,"Ice Hockey",2
"Jack David Laugher","Great Britain",Diving,2
"Janne Kristian Laukkanen",Finland,"Ice Hockey",2
"Kalevi Johannes Laurila",Finland,"Cross Country Skiing",2
"Elise Mary Laverick (-Sherwell)","Great Britain",Rowing,2
"Renaud Lavillenie",France,Athletics,2
"Neale John Lavis",Australia,Equestrianism,2
"Andrey Ivanovich Lavrov",Russia,Handball,2
"Nataliya Aleksandrovna Lavrova",Russia,"Rhythmic Gymnastics",2
"Reka Zsofia Lazr-Szabo",Romania,Fencing,2
"Marek bik",Poland,Canoeing,2
"Patrick Joseph "Pat"" Leahy"","Great Britain",Athletics,2
"John Scott Leary","United States",Swimming,2
"Lillie Mae Leatherwood (-King)","United States",Athletics,2
"Anouk Leblanc-Boucher",Canada,"Short Track Speed Skating",2
"Vesela Nikolaeva Lecheva (-Veleva)",Bulgaria,Shooting,2
"Tatyana Mikhaylovna Ledovskaya","Soviet Union",Athletics,2
"Jzefa Ledwig (-Bben)",Poland,Volleyball,2
"Lee Bo-Na","South Korea",Shooting,2
"Lee Dae-Hun","South Korea",Taekwondo,2
"David Cameron Lee","United States",Volleyball,2
"Lee Gyeong-Won","South Korea-1",Badminton,2
"Lee Hyo-Jeong","South Korea-1",Badminton,2
"Lee Ju-Hyeong","South Korea",Gymnastics,2
"Lee Jun-Ho","South Korea","Short Track Speed Skating",2
"Lee Sang-Eun","South Korea",Handball,2
"Lee Sang-Hwa","South Korea","Speed Skating",2
"Lee Seung-Bae","South Korea",Boxing,2
"Lee Seung-Yeop","South Korea",Baseball,2
"Lee Yong-Dae","South Korea-1",Badminton,2
"Faith Yvonne Leech (-Touhy)",Australia,Swimming,2
"Bernardus Petrus "Bernard"" Leene"",Netherlands,Cycling,2
"Janou Lefbvre (-Tissot)",France,Equestrianism,2
"Clment Lefert",France,Swimming,2
"Fabien Lefvre",France,Canoeing,2
"Waldemar Legie",Poland,Judo,2
"Aleksandr Gennadyevich Legkov",Russia,"Cross Country Skiing",2
"Bernhard Lehmann","East Germany-1",Bobsleigh,2
"Bernhard Lehmann","East Germany-2",Bobsleigh,2
"Veli Veikko Valtteri Lehtel",Finland,Rowing,2
"Lauri Aleksanteri Lehtinen",Finland,Athletics,2
"Eero Reino Lehtonen",Finland,Athletics,2
"Mirja Annikki Lehtonen (-Kierros)",Finland,"Cross Country Skiing",2
"Leila de Gomes de Barros",Brazil,Volleyball,2
"Patric-Fritz Leitner",Germany-2,Luge,2
"Christophe Alexandre Christian Lematre",France,Athletics,2
"Richard Alexander Leman","Great Britain",Hockey,2
"Dezs Lemhnyi (Kollmann)",Hungary,"Water Polo",2
"Ren Alphonse Lemoine",France,Fencing,2
"Karen Lende O'Connor","United States",Equestrianism,2
"Suzanne Rachel Flore Lenglen",France,Tennis,2
"Olivier Serge Lenglet",France,Fencing,2
"Julius Lenhart",Austria,Gymnastics,2
"Mark Edward Lenzi","United States",Diving,2
"Dmytro Maksymovych Leonkin","Soviet Union",Gymnastics,2
"Galina Aleksandrovna Leontyeva (Yelnitskaya-)","Soviet Union",Volleyball,2
"Sami Lepist",Finland,"Ice Hockey",2
"Erik Lesser",Germany,Biathlon,2
"Joseph Louis "Joe"" Levis"","United States",Fencing,2
"Detlef Lewe","West Germany",Canoeing,2
"Barbara Lewe-Pohlmann-Schttpelz (-Norton, -Conrad)","West Germany",Canoeing,2
"Carl Gustaf Moritz Thure Lewenhaupt",Sweden,Equestrianism,2
"Denise Lewis","Great Britain",Athletics,2
"Hayley Jane Lewis (-Taylor)",Australia,Swimming,2
"Paul Snowden Lewis",Australia,Hockey,2
"Li Byong-Uk","North Korea",Boxing,2
"Li Duihong",China,Shooting,2
"Li Jia Wei",Singapore,"Table Tennis",2
"Li Na",China,Diving,2
"Li Na",China,Fencing,2
"Li Nina",China,"Freestyle Skiing",2
"Li Ronghua",China,Rowing,2
"Igor Liba",Czechoslovakia,"Ice Hockey",2
"Ulrich "Ulli"" Libor"","West Germany",Sailing,2
"Gheorghe Lichiardopol",Romania,Shooting,2
"Gheorghe "Ghi"" Licu"",Romania,Handball,2
"Eric Henry Liddell","Great Britain",Athletics,2
"Sigve Lie",Pan,Sailing,2
"Theodore Sharp "Ted"" Ligety"","United States","Alpine Skiing",2
"Fritz Ligges",Germany,Equestrianism,2
"Fritz Ligges","West Germany",Equestrianism,2
"Lin Dan",China,Badminton,2
"Lin Yue",China,Diving,2
"Bjrn Johan Lind",Sweden,"Cross Country Skiing",2
"Carl Johan Lind",Sweden,Athletics,2
"Caroline Lind","United States",Rowing,2
"Joan Louise Lind (-Van Blom)","United States",Rowing,2
"Eva Cathrine Lindahl (Norberg-)",Sweden,Curling,2
"Edward Ferdinand Jacob "Ed"" Lindberg"","United States",Athletics,2
"Karin Elisabet Lindberg (-Lindn)",Sweden,Gymnastics,2
"Knut Andreas Lindberg",Sweden,Athletics,2
"Ylva Maria Lindberg",Sweden,"Ice Hockey",2
"Arthur Richard Lindfors",Finland,Wrestling,2
"Berndt Torbjrn Lindfors",Finland,Gymnastics,2
"August Ludvig Lindgren",Denmark,Football,2
"Eric Bryan Lindros",Canada,"Ice Hockey",2
"Jeremy Porter Linn","United States",Swimming,2
"Liselott Linsenhoff (Schindling-, -Rheinberger)",Germany,Equestrianism,2
"Kazimierz Lipie",Poland,Wrestling,2
"Donald Fithian Lippincott","United States",Athletics,2
"Jaak Lipso","Soviet Union",Basketball,2
"Karel Lismont",Belgium,Athletics,2
"Sergey Nikolayevich Litvinov","Soviet Union",Athletics,2
"Liu Chunhong",China,Weightlifting,2
"Liu Guoliang",China,"Table Tennis",2
"Liu Qing",China,Basketball,2
"Liu Shoubin",China,Weightlifting,2
"Liu Xuan",China,Gymnastics,2
"Liu Yanan",China,Volleyball,2
"Brent James Livermore",Australia,Hockey,2
"Bo Urban Mikael Ljungberg",Sweden,Wrestling,2
"Bengt Helge Ljungquist",Sweden,Fencing,2
"Roar Ljkelsy",Norway,"Ski Jumping",2
"Henry Morton "Harry"" Llewellyn"","Great Britain",Equestrianism,2
"Carli Anne Lloyd (-Hollins)","United States",Football,2
"Shereefa Lloyd",Jamaica,Athletics,2
"Sergio Llull Meli",Spain,Basketball,2
"Yury Terentyevich Lobanov","Soviet Union",Canoeing,2
"Nikita Konstantinovich Lobintsev",Russia,Swimming,2
"Yekaterina Aleksandrovna Lobysheva",Russia,"Speed Skating",2
"William Lockwood",Australia,Rowing,2
"Erik Mikael Lfgren",Sweden,Biathlon,2
"William Frederick "Willy"" Logan"",Canada,"Speed Skating",2
"Hermanus Pieter "Dick"" Loggere"",Netherlands,Hockey,2
"Gabriele "Gabi"" Lohs-Khn"","East Germany",Rowing,2
"Konstantin Borisovich Loktev","Soviet Union","Ice Hockey",2
"Vasyl Anatoliyovich Lomachenko",Ukraine,Boxing,2
"Trofim Fyodorovich Lomakin","Soviet Union",Weightlifting,2
"Abraham Robertus "Bram"" Lomans"",Netherlands,Hockey,2
"John Edward "Jack"" London"","Great Britain",Athletics,2
"Dallas Crutcher Long, III","United States",Athletics,2
"Long Qingquan",China,Weightlifting,2
"Paavo Olavi Lonkila (Lng-)",Finland,"Cross Country Skiing",2
"Shelley Looney","United States","Ice Hockey",2
"Carlos Alberto de Sousa Lopes",Portugal,Athletics,2
"Nicolas Pierre Lopez",France,Fencing,2
"Yury Yevgenyevich Lorentsson","Soviet Union",Rowing,2
"Dietmar Lorenz","East Germany",Judo,2
"Ericka Denise Lorenz","United States","Water Polo",2
"Beatrix Suzetta Loughran (-Harvey)","United States","Figure Skating",2
"Constantine Michael Louloudis","Great Britain",Rowing,2
"Lea E. Loveless (-Maurer)","United States",Swimming,2
"Lars Stefan Lvgren",Sweden,Handball,2
"Ladislau Lovrenschi",Romania,Rowing,2
"Douglas Gordon Arthur Lowe","Great Britain",Athletics,2
"Francesco Loy",Italy,Gymnastics,2
"Rafael Lozano Muoz",Spain,Boxing,2
"Heidi Lke",Norway,Handball,2
"Lu Chunlong",China,Trampolining,2
"Lu Li",China,Gymnastics,2
"Lu Lin",China-1,"Table Tennis",2
"Lu Xiaojun",China,Weightlifting,2
"Vittorio Lucchetti",Italy,Gymnastics,2
"Rosario Luchetti",Argentina,Hockey,2
"Jrg Lucke","East Germany",Rowing,2
"Klaus-Dieter Ludwig","East Germany",Rowing,2
"Olaf Ludwig","East Germany",Cycling,2
"Pierre Fritz Lueders",Canada-1,Bobsleigh,2
"Arnold Luhar",Estonia,Weightlifting,2
"Theresa Anne Luke",Canada,Rowing,2
"Jyrki Olavi Lumme",Finland,"Ice Hockey",2
"Eva Maria Lund (-Eriksson)",Sweden,Curling,2
"Ji Lundk",Czechoslovakia,Rowing,2
"Odd Harald Lundberg",Norway,"Speed Skating",2
"Janne Lundblad",Sweden,Equestrianism,2
"Stephen K. "Steve"" Lundquist"","United States",Swimming,2
"Bjrn Henrik Lundqvist",Sweden,"Ice Hockey",2
"Nomi Ildiko Lung",Romania,Swimming,2
"Luo Xi",China,"Synchronized Swimming",2
"Roberto Luongo",Canada,"Ice Hockey",2
"Thomas Peter Lurz",Germany,Swimming,2
"Deni Lui",Yugoslavia,"Water Polo",2
"Stanislav Lusk",Czechoslovakia,Rowing,2
"Vladimir Yakovlevich Lutchenko","Soviet Union","Ice Hockey",2
"August Ltke Westhues (Hohenbrink-)",Germany,Equestrianism,2
"Hans Lutz","West Germany",Cycling,2
"Toni Petteri Lydman",Finland,"Ice Hockey",2
"Stephen John "Steve"" Lysak"","United States",Canoeing,2
"Lyubomir Yankov Lyubenov",Bulgaria,Canoeing,2
"Ma Lin",China,"Table Tennis",2
"Ma Yanhong",China,Gymnastics,2
"Kaarlo Hannes Maaninka",Finland,Athletics,2
"Pirkko Sisko Mtt",Finland,"Cross Country Skiing",2
"David Ross MacDonald",Canada,Sailing,2
"Vtzslav Mcha",Czechoslovakia,Wrestling,2
"Lutz Mack","East Germany",Gymnastics,2
"Archibald A. "Archie"" MacKinnon"",Canada,Rowing,2
"Stephen Albert "Steve"" Macknowski"","United States",Canoeing,2
"Rosannagh "Rosie"" MacLennan"",Canada,Trampolining,2
"Carla MacLeod",Canada,"Ice Hockey",2
"Hannah Louise Macleod","Great Britain",Hockey,2
"Shannon Ann MacMillan","United States",Football,2
"Norbert Madaras",Hungary,"Water Polo",2
"Hideko Maehata (-Hyodo)",Japan,Swimming,2
"Wolfgang Mager","East Germany",Rowing,2
"Christine Marie Magnuson","United States",Swimming,2
"Hussain Khalid Mahmood",Pakistan,Hockey,2
"Phillip Ferdinand "Phil"" Mahre"","United States","Alpine Skiing",2
"Erika Mahringer (-Spie)",Austria,"Alpine Skiing",2
"Johann Adolf Friedrich "Hans"" Maier"",Germany,Rowing,2
"Clover Margaret Maitland",Australia,Hockey,2
"Fabio Maj",Italy,"Cross Country Skiing",2
"Tomasz Majewski",Poland,Athletics,2
"Tetiana Ivanivna Makarets-Kocherhina","Soviet Union",Handball,2
"Sergey Aleksandrovich Makarov",Russia,Athletics,2
"Petkana Bogdanova Makaveeva",Bulgaria,Basketball,2
"Tapio Valfrid Mkel",Finland,"Cross Country Skiing",2
"Antonina Viktorovna Makhina-Dumcheva-Zelikovich","Soviet Union",Rowing,2
"Kaarlo Edvin Mkinen",Finland,Wrestling,2
"Shozo Makino",Japan,Swimming,2
"Nikolay Mikhaylovich Maksimov",Russia,"Water Polo",2
"Raimkul Khadoynazarovich Malakhbekov",Russia,Boxing,2
"Thomas Andrew "Tom"" Malchow"","United States",Swimming,2
"Bronisaw Malinowski",Poland,Athletics,2
"Igor Alekseyevich Malkov","Soviet Union","Speed Skating",2
"Grgory Mallet",France,Swimming,2
"Henry William "Harry"" Mallin"","Great Britain",Boxing,2
"Hkan Malmrot",Sweden,Swimming,2
"Jordan Malone","United States","Short Track Speed Skating",2
"Karl Malone","United States",Basketball,2
"Dominique Maltais",Canada,Snowboarding,2
"Viktor Fyodorovich Mamatov","Soviet Union",Biathlon,2
"Duan Mandi",Serbia,"Water Polo",2
"Ferdinando Mandrini",Italy,Gymnastics,2
"Lorenzo "Renzo"" Mangiante"",Italy,Gymnastics,2
"Mirela Maniani-Tzelili",Greece,Athletics,2
"Shelley Isabel Mann","United States",Swimming,2
"Madeline Manning-Jackson (-Mims)","United States",Athletics,2
"Juan Manrique Garca",Cuba,Baseball,2
"Julius Carl Fritz Manteuffel",Germany,Gymnastics,2
"Jari Sakari Mantila",Finland,"Nordic Combined",2
"Gyuzel Tagirovna Manyurova",Kazakhstan,Wrestling,2
"Tibor Maracsk",Hungary,"Modern Pentathlon",2
"Marcelo Vieira da Silva Jnior",Brazil,Football,2
"Vladimir Nikolayevich Marchenko","Soviet Union",Gymnastics,2
"Raimondas arnas Mariulionis",Lithuania,Basketball,2
"Anne R. Marden (-Grainger)","United States",Rowing,2
"Yekaterina Aleksandrovna Marennikova",Russia,Handball,2
"Elena Mrgrit-Niculecu (-Dobrovolschi, -Fodor)",Romania,Gymnastics,2
"Corneliu "Cornel"" Marin"",Romania,Fencing,2
"Fiorenzo Marini",Italy,Fencing,2
"Martin Georgiev Marinov",Bulgaria,Canoeing,2
"Russell Andrew Mark",Australia,Shooting,2
"Vladimir Nikolayevich Markelov","Soviet Union",Gymnastics,2
"Viktor Fyodorovich Markin","Soviet Union",Athletics,2
"Jadwiga Marko-Ksiek",Poland,Volleyball,2
"Patrick Denis Marleau",Canada,"Ice Hockey",2
"McKayla Rose Maroney","United States",Gymnastics,2
"Jzsef Marosi",Hungary,Fencing,2
"Paula Marosi (-Fldessy)",Hungary,Fencing,2
"Pter Mart",Hungary,Fencing,2
"Wlamir Marques",Brazil,Basketball,2
"John Birnie Marshall",Australia,Swimming,2
"Marta Vieira da Silva",Brazil,Football,2
"Brian Martin","United States-2",Luge,2
"Floyd "Butch"" Martin"",Canada,"Ice Hockey",2
"Damir Martin",Croatia,Rowing,2
"Kevin Martin",Canada,Curling,2
"Louis George Martin","Great Britain",Weightlifting,2
"Patrick Henry "Pat"" Martin"","United States-1",Bobsleigh,2
"Stephen Alexander "Sam"" Martin"","Great Britain",Hockey,2
"Kim Kristine Martin-Hasson",Sweden,"Ice Hockey",2
"Vladimr Martinec",Czechoslovakia,"Ice Hockey",2
"Silvio Martinello",Italy,Cycling,2
"Nicolae Martinescu",Romania,Wrestling,2
"Conchita Martnez Bernat",Spain,Tennis,2
"Iker Martnez de Lizarduy Lizarribar",Spain,Sailing,2
"Jonder Martnez Martnez",Cuba,Baseball,2
"Miguel Martinez",France,Cycling,2
"Francesco Martino",Italy,Gymnastics,2
"Branislav "Branko"" Martinovi"",Yugoslavia,Wrestling,2
"Barbro Martinsson (-Grahn)",Sweden,"Cross Country Skiing",2
"Gisle Marie "Gigi"" Marvin"","United States","Ice Hockey",2
"Javier Alejandro Mascherano",Argentina,Football,2
"Florence Masnada (-Aubonnet)",France,"Alpine Skiing",2
"Alexander Chen Massialas","United States",Fencing,2
"Nicols Alejandro Mass Fried",Chile,Tennis,2
"Svetlana Aleksandrovna Masterkova",Russia,Athletics,2
"Zygmunt Pawe Maszczyk",Poland,Football,2
"Lajos Maszlay",Hungary,Fencing,2
"Diana Beverly Matheson",Canada,Football,2
"Marlene Judith Mathews-Willard (-O'Shea)",Australia,Athletics,2
"Courtney Lynn Kaiulani  Mathewson","United States","Water Polo",2
"Robert Bruce "Bob"" Mathias"","United States",Athletics,2
"Franois Mathy",Belgium,Equestrianism,2
"Valter Matoevi",Croatia,Handball,2
"Matylda Matoukov-nov (-Rikov)",Czechoslovakia,Gymnastics,2
"Ollie Genoa Matson","United States",Athletics,2
"James Randel "Randy"" Matson"","United States",Athletics,2
"Kaori Matsumoto",Japan,Judo,2
"Katsumi Matsumura (-Tida)",Japan,Volleyball,2
"Masayuki Matsunaga",Japan,Gymnastics,2
"Joachim Mattern","East Germany",Canoeing,2
"Maurice Kershaw Matthews","Great Britain",Shooting,2
"Vincent Edward "Vince"" Matthews"","United States",Athletics,2
"Margriet Matthijsse",Netherlands,Sailing,2
"Sergio Armando Matto Surez",Uruguay,Basketball,2
"Evelyn Matz (-Hbscher)","East Germany",Handball,2
"Algernon Maudslay",Scotia,Sailing,2
"Alexander Elsdon Maunder","Great Britain",Shooting,2
"Maurcio Camargo Lima",Brazil,Volleyball,2
"Fiona Winsome Marcia May (-Iapichino)",Italy,Athletics,2
"John Edward Mayasich","United States","Ice Hockey",2
"Andria "Maycon"" dos Santos"",Brazil,Football,2
"Christian Mayer",Austria,"Alpine Skiing",2
"Helene Mayer (-Falkner von Sonnenburg)",Germany,Fencing,2
"Viktor Viktorovich Maygurov",Russia,Biathlon,2
"Boris Aleksandrovich Mayorov","Soviet Union","Ice Hockey",2
"Mariya Valeryevna Mazina",Russia,Fencing,2
"Andrs Mazzali",Uruguay,Football,2
"Serafino Mazzarocchi",Italy,Gymnastics,2
"Piotr Maachowski",Poland,Athletics,2
"Franoise Mbango Etone",Cameroon,Athletics,2
"Thomas Sean "Tom"" McBreen"","United States",Swimming,2
"Lynette Velma "Lyn"" McClements (-McKenzie)"",Australia,Swimming,2
"Suzanne Theresa "Suzie"" McConnell (-Serio)"","United States",Basketball,2
"Alicia McCormack",Australia,"Water Polo",2
"Kelly Anne McCormick","United States",Diving,2
"Francena Lynette McCorory","United States",Athletics,2
"Angel Lajuane McCoughtry","United States",Basketball,2
"Josiah Calvin McCracken, Jr.","United States",Athletics,2
"Nikki Kensengane McCray","United States",Basketball,2
"Heather Jane McDermid",Canada,Rowing,2
"Sally Jane McDermid-McCreedy",Australia,Softball,2
"Richard Terrance "Terry"" McDermott"","United States","Speed Skating",2
"Michael L. McDonald",Jamaica,Athletics,2
"William Neil McDonnell","United States",Shooting,2
"Cameron McEvoy",Australia,Swimming,2
"Danny D. McFarlane",Jamaica,Athletics,2
"Perry McGillivray","United States",Swimming,2
"Stephen John McGlede",Australia,Cycling,2
"Scott Anthony McGrory",Australia,Cycling,2
"Charles "Charlie"" McKee"","United States",Sailing,2
"Jonathan Dunn McKee","United States",Sailing,2
"Grace McKenzie (-Nelson, -Morgan)","Great Britain",Swimming,2
"William Alister M. "Bill"" McKerlich"",Canada,Rowing,2
"Richard Lee "Rick"" McKinney"","United States",Archery,2
"Jeffrey Dean "Jeff"" McLaughlin"","United States",Rowing,2
"Sally McLellan-Pearson",Australia,Athletics,2
"Tony McQuay","United States",Athletics,2
"James McRae",Australia,Rowing,2
"Richard "Dick"" McTaggart"","Great Britain",Boxing,2
"Andrea Bario Mead-Lawrence","United States","Alpine Skiing",2
"Miloslav Me",Czechoslovakia,Tennis,2
"Yevgeniya Vladimirovna Medvedeva (Arbuzova-)",Russia,"Cross Country Skiing",2
"Zemfira Aliyevna Meftkhtddinova",Azerbaijan,Shooting,2
"George Nicholas Mehnert","United States",Wrestling,2
"Kurt Meier",Switzerland-1,Bobsleigh,2
"Catherine Michelle "Katie"" Meili"","United States",Swimming,2
"Yevdokiya Panteleyevna Mekshilo (Arkhipova-)","Soviet Union","Cross Country Skiing",2
"Wilhelm "Willi"" Melliger"",Switzerland,Equestrianism,2
"Jessica Mendoza (-Burks)","United States",Softball,2
"Osleidys Menndez Sez",Cuba,Athletics,2
"Meng Guanliang",China,Canoeing,2
"Gemma Mengual Civil",Spain,"Synchronized Swimming",2
"Barbara Mensing",Germany,Archery,2
"Marco Meoni",Italy,Volleyball,2
"Gaston Antoine Mercier",France,Rowing,2
"Richard Otis "Dick"" Meredith"","United States","Ice Hockey",2
"James Edwin "Ted"" Meredith"","United States",Athletics,2
"Rolando Merio Betancourt",Cuba,Baseball,2
"Petar Khristov Merkov",Bulgaria,Canoeing,2
"Iryna Oleksivna Merleni-Mykulchyn (Melnyk-)",Ukraine,Wrestling,2
"Gerald Eustace Merlin","Great Britain",Shooting,2
"Sidney Louis Walter Merlin","Great Britain",Shooting,2
"Suzanne "Sue"" Merz"","United States","Ice Hockey",2
"Germn Mesa Fresneda",Cuba,Baseball,2
"Daniel Mesotitsch",Austria,Biathlon,2
"Heinrich "Heini"" Messner"",Austria,"Alpine Skiing",2
"ula Meter","Serbia and Montenegro",Volleyball,2
"Erika Mszros",Hungary,Canoeing,2
"Ervin Mszros",Hungary,Fencing,2
"Gyrgy Mszros",Hungary,Canoeing,2
"Anastasios Metaxas",Greece,Shooting,2
"Penka Metodieva",Bulgaria,Basketball,2
"Lothar Metz",Germany,Wrestling,2
"Karin Metze (-Ulbricht)","East Germany",Rowing,2
"Uwe-Jens Mey","East Germany","Speed Skating",2
"Herman Meyboom",Belgium,"Water Polo",2
"Marcel Meyer de Stadelhofen",Switzerland,Shooting,2
"Ulrike Meyfarth (-Nasse)","West Germany",Athletics,2
"Chantelle Lee Michell-Newbery",Australia,Diving,2
"Anna Mickelson-Cummins","United States",Rowing,2
"Ingrid Mickler-Becker (-Inglau)","West Germany",Athletics,2
"Nils Middelboe",Denmark,Football,2
"Mark Petrovich Midler","Soviet Union",Fencing,2
"Aurlio Fernndez Miguel",Brazil,Judo,2
"John Fredrik Mikaelsson",Sweden,Athletics,2
"Maksim Mikhaylovich Mikhaylov",Russia,Volleyball,2
"Snezhana Mikhaylova",Bulgaria,Basketball,2
"Meaghan Mikkelson",Canada,"Ice Hockey",2
"Cesare Milani",Italy,Rowing,2
"Igor Milanovi",Yugoslavia,"Water Polo",2
"Tiffeny Carleen Milbrett","United States",Football,2
"Wilhelm "Willi"" Bsing"",Germany,Equestrianism,2
"Andro Bulje",Croatia,"Water Polo",2
"Jahangir Ahmed Butt",Pakistan,Hockey,2
"Richard Totten "Dick"" Button"","United States","Figure Skating",2
"Karyn L. Bye (-Dietz)","United States","Ice Hockey",2
"Oskar Wilhelm Bye",Norway,Gymnastics,2
"Anatoly Mikhaylovich Bykov","Soviet Union",Wrestling,2
"Bror Erik Bylhn",Sweden,Athletics,2
"James Andrew Byrnes",Canada,Rowing,2
"Alba Mara Cabello Rodilla",Spain,"Synchronized Swimming",2
"Giulio Cacciandra",Italy,Equestrianism,2
"Fermn Cacho Ruiz",Spain,Athletics,2
"Axel Vilhelm Teodor Cadier",Sweden,Wrestling,2
"Erin Jane Cafaro (-McKenzie)","United States",Rowing,2
"Tania Cagnotto (-Parolin)",Italy,Diving,2
"Caitlin Kinder Cahow","United States","Ice Hockey",2
"Cai Yun",China-1,Badminton,2
"Lawrence J. "Larry"" Cain"",Canada,Canoeing,2
"Chiara Cainero",Italy,Shooting,2
"Zlatko ajkovski",Yugoslavia,Football,2
"Giampaolo Calanchini",Italy,Fencing,2
"Miguel Calds Luis",Cuba,Baseball,2
"Lee Quincy Calhoun","United States",Athletics,2
"Emmanuel Earl Callender","Trinidad and Tobago",Athletics,2
"Ashley John Callus",Australia,Swimming,2
"Irene Camber-Corno",Italy,Fencing,2
"Luigi Cambiaso",Italy,Gymnastics,2
"Tiago Henrique de Oliveira Camilo",Brazil,Judo,2
"Darren Andrew Campbell","Great Britain",Athletics,2
"Jodocus David "Jody"" Campbell"","United States","Water Polo",2
"Milton Gray "Milt"" Campbell"","United States",Athletics,2
"George Peter Campbell","United States","Water Polo",2
"Alisa Peta Camplin (-Warner)",Australia,"Freestyle Skiing",2
"Philippe Christophe Luciene Candeloro",France,"Figure Skating",2
"douard Candeveau",Switzerland,Rowing,2
"Henry Albert Canet",France,Tennis,2
"Giovanni Canova",Italy,Fencing,2
"Fernand Canteloube",France,Cycling,2
"Luigi "Gino"" Cantone"",Italy,Fencing,2
"Ona Carbonell Ballestero",Spain,"Synchronized Swimming",2
"Per Arne Owe Carln",Sweden,Handball,2
"Per Hjalmar Ludvig Carleson",Sweden,Fencing,2
"Jazmin Roxy "Jazz"" Carlin"","Great Britain",Swimming,2
"Conrad Marentius Carlsrud",Norway,Gymnastics,2
"Gustaf Vilhelm "Gsta"" Carlsson"",Sweden,Cycling,2
"Giovanni Carminucci",Italy,Gymnastics,2
"Maurizio Carnino",Italy,"Short Track Speed Skating",2
"Stphan Malcolm Caron",France,Swimming,2
"Luigi Arturo Carpaneda",Italy,Fencing,2
"William Arthur "Bill"" Carr"","United States",Athletics,2
"Catherine L. "Cathy"" Carr (-West)"","United States",Swimming,2
"Henry William Carr","United States",Athletics,2
"Magalys Esther Carvajal Rivera",Cuba,Volleyball,2
"Alejandro Francisco Casaas Ramrez",Cuba,Athletics,2
"Kellogg Kennon Venable Casey","United States",Shooting,2
"Swintayla Marie "Swin"" Cash"","United States",Basketball,2
"Jos Pedro Cea Urriza",Uruguay,Football,2
"Frederich Cepeda Cruz",Cuba,Baseball,2
"Ion Cernea",Romania,Wrestling,2
"Aldona esaityt-Nennien","Soviet Union",Handball,2
"Giorgio Cesana","Bucintoro Venezia",Rowing,2
"Milan Chalupa",Czechoslovakia,"Ice Hockey",2
"Harry Dwight Chamberlin","United States",Equestrianism,2
"Ernest Henry Chambers","Great Britain",Cycling,2
"Patrick Lewis Chan",Canada,"Figure Skating",2
"Chang Hye-Jin","South Korea",Archery,2
"Gary Arthur Chapman",Australia,Swimming,2
"Francis Davis "Frank"" Chapot"","United States",Equestrianism,2
"Germain Louis Marcel Chardin",France,Rowing,2
"Tina Alexandria Charles","United States",Basketball,2
"Harvey Blashford Charters",Canada,Canoeing,2
"Mauro Checcoli",Italy,Equestrianism,2
"Jury Dimitri Chechi",Italy,Gymnastics,2
"Andrey Ivanovich Chemerkin",Russia,Weightlifting,2
"Chen Aisen",China,Diving,2
"Chen Jing",China,"Table Tennis",2
"Chen Jing","Chinese Taipei","Table Tennis",2
"Chen Long",China,Badminton,2
"Chen Lu",China,"Figure Skating",2
"Chen Yanqing",China,Weightlifting,2
"Chen Ying",China,Shooting,2
"Chen Zhong",China,Taekwondo,2
"Giuliana Chenal-Minuzzo",Italy,"Alpine Skiing",2
